,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
60,Bruno Petkovic,6,1,234,1,0,1,1,1,0,1,0,40.0,75.0,53.3,6.0,4,3.0,0,0.0,102.0,2.0,4.0,50.0,3,11,0,1,0.0,0.0,0,8.0,13.0,FW,27,Croatia,Dinamo Zagreb,Croatia
61,Nikola Vlaaiia,6,1,209,0,0,5,1,0,0,0,0,45.0,55.0,81.8,1.0,1,2.0,1,0.0,81.0,3.0,9.0,33.3,4,6,0,4,0.0,0.0,0,2.0,6.0,FWMF,24,Italy,Torino,Croatia
62,Mislav Oraiia,6,1,162,1,2,9,2,1,0,0,0,40.0,54.0,74.1,3.0,3,2.0,0,1.0,81.0,1.0,3.0,33.3,3,0,1,4,0.0,0.0,0,0.0,0.0,FW,29,Croatia,Dinamo Zagreb,Croatia
63,Lovro Majer,7,1,130,1,0,4,2,1,0,0,0,78.0,98.0,79.6,3.0,1,1.0,0,2.0,122.0,0.0,2.0,0.0,5,3,0,8,0.0,0.0,0,0.0,0.0,MFFW,24,France,Rennes,Croatia
64,Borna Bariaiia,1,1,120,0,0,1,0,0,0,1,0,50.0,69.0,72.5,1.0,1,1.0,0,4.0,82.0,0.0,0.0,0.0,5,2,0,11,0.0,0.0,0,6.0,2.0,DF,29,Scotland,Rangers,Croatia
65,Josip Staniaiia,1,1,90,0,0,1,0,0,0,0,0,36.0,49.0,73.5,3.0,3,0.0,1,0.0,56.0,0.0,0.0,0.0,1,2,0,1,0.0,0.0,0,1.0,0.0,DF,22,Germany,Bayern Munich,Croatia
66,Josip autalo,1,1,90,0,0,0,0,0,0,0,0,62.0,66.0,93.9,0.0,0,1.0,0,5.0,73.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,3.0,DF,22,Croatia,Dinamo Zagreb,Croatia
67,Ante Budimir,2,0,55,0,0,1,0,0,0,0,0,2.0,5.0,40.0,1.0,1,0.0,0,1.0,12.0,0.0,0.0,0.0,4,2,0,0,0.0,0.0,0,2.0,4.0,FW,30,Spain,Osasuna,Croatia
68,Kristijan Jakia,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,FW,25,Germany,Eint Frankfurt,Croatia
69,Sofyan Amrabat,7,7,660,0,0,1,0,0,0,1,0,269.0,322.0,83.5,16.0,10,2.0,6,10.0,382.0,0.0,5.0,0.0,14,6,1,2,0.0,0.0,0,2.0,3.0,MF,25,Italy,Fiorentina,Morocco
